Staper	Efq0101
2002-12	18500.70
2003-03	19448.73
2003-06	20490.74
2003-09	21356.71
2003-12	22122.28
2004-03	23165.46
2004-06	23842.75
2004-09	24375.69
2004-12	25410.70
2005-03	26458.89
2005-06	27578.55
2005-09	28743.83
2005-12	29875.57
2006-03	31049.07
2006-06	32275.64
2006-09	33186.54
2006-12	34557.79
2007-03	36409.37
2007-06	37783.22
2007-09	39309.89
2007-12	40344.22
2008-03	42305.45
2008-06	44314.10
2008-09	45289.87
2008-12	47516.66
2009-03	53062.67
2009-06	56891.62
2009-09	58540.53
2009-12	61022.45
2010-03	64994.75
2010-06	67392.17
2010-09	69647.15
2010-12	72585.18
2011-03	75813.10
2011-06	78082.10
2011-09	78740.62
2011-12	85159.09
2012-03	89556.55
2012-06	92499.12
2012-09	94368.88
2012-12	97414.88
2013-03	103585.84
2013-06	105440.37
2013-09	107737.92
2013-12	110652.50
2014-03	116068.74
2014-06	120958.72
2014-09	120205.14
2014-12	122837.48
2015-03	127533.28
2015-06	133337.54
2015-09	135982.41
2015-12	139227.81
2016-03	144619.80
2016-06	149049.18
2016-09	151636.05
2016-12	155006.67
2017-03	159960.96
