Sgnmnth	Fresgn	Datasgn	Ruimm01	Ruimm03
2002-10	M	A	3m	2.3400
2002-11	M	A	3m	2.3300
2002-12	M	A	3m	2.3700
2003-01	M	A	3m	2.3900
2003-02	M	A	3m	2.3100
2003-03	M	A	3m	2.2400
2003-04	M	A	3m	2.1700
2003-05	M	A	3m	2.1600
2003-06	M	A	3m	2.2800
2003-07	M	A	3m	2.3400
2003-08	M	A	3m	2.3600
2003-09	M	A	3m	3.6800
2003-10	M	A	3m	3.4500
2003-11	M	A	3m	3.1000
2003-12	M	A	3m	2.9400
2004-01	M	A	3m	2.8400
2004-02	M	A	3m	2.3300
2004-03	M	A	3m	2.2700
2004-04	M	A	3m	2.6100
2004-05	M	A	3m	2.8100
2004-06	M	A	3m	3.1100
2004-07	M	A	3m	3.0300
2004-08	M	A	3m	3.0000
2004-09	M	A	3m	2.9300
2004-10	M	A	3m	2.9400
2004-11	M	A	3m	2.9100
2004-12	M	A	3m	2.7300
2005-01	M	A	3m	2.4900
2005-02	M	A	3m	2.3800
2005-03	M	A	3m	2.5100
2005-04	M	A	3m	2.2100
2005-05	M	A	3m	1.5200
2005-06	M	A	3m	1.5000
2005-07	M	A	3m	1.5400
2005-08	M	A	3m	1.4900
2005-09	M	A	3m	1.5200
2005-10	M	A	3m	1.8300
2005-11	M	A	3m	1.5300
2005-12	M	A	3m	1.7700
2006-01	M	A	3m	0.0000
2006-02	M	A	3m	1.7800
2006-03	M	A	3m	1.8900
2006-04	M	A	3m	2.2400
2006-05	M	A	3m	2.2700
2006-06	M	A	3m	2.5100
2006-07	M	A	3m	3.1200
2006-08	M	A	3m	2.8500
2006-09	M	A	3m	2.7200
2006-10	M	A	3m	2.7000
2006-11	M	A	3m	2.9800
2006-12	M	A	3m	2.8400
2007-01	M	A	3m	2.6300
2007-02	M	A	3m	2.8200
2007-03	M	A	3m	2.6300
2007-04	M	A	3m	3.9100
2007-05	M	A	3m	3.5800
2007-06	M	A	3m	3.1400
2007-07	M	A	3m	3.1400
2007-08	M	A	3m	3.2000
2007-09	M	A	3m	3.6400
2007-10	M	A	3m	3.8800
2007-11	M	A	3m	5.0200
2007-12	M	A	3m	4.5500
2008-01	M	A	3m	4.2700
2008-02	M	A	3m	4.2600
2008-03	M	A	3m	4.3900
2008-04	M	A	3m	4.5100
2008-05	M	A	3m	4.3800
2008-06	M	A	3m	4.2000
2008-07	M	A	3m	4.4700
2008-08	M	A	3m	4.0800
2008-09	M	A	3m	4.1400
2008-10	M	A	3m	4.2500
2008-11	M	A	3m	3.5500
2008-12	M	A	3m	1.9000
2009-01	M	A	3m	2.3000
2009-02	M	A	3m	1.0900
2009-03	M	A	3m	1.2700
2009-04	M	A	3m	1.1200
2009-05	M	A	3m	1.1400
2009-06	M	A	3m	1.2000
2009-07	M	A	3m	1.6800
2009-08	M	A	3m	1.7000
2009-09	M	A	3m	1.7800
2009-10	M	A	3m	1.8100
2009-11	M	A	3m	2.0800
2009-12	M	A	3m	1.8600
2010-01	M	A	3m	1.8500
2010-02	M	A	3m	1.9400
2010-03	M	A	3m	1.9100
2010-04	M	A	3m	1.7300
2010-05	M	A	3m	2.0200
2010-06	M	A	3m	3.6900
2010-07	M	A	3m	2.4800
2010-08	M	A	3m	2.4400
2010-09	M	A	3m	2.5600
2010-10	M	A	3m	2.7500
2010-11	M	A	3m	3.3800
2010-12	M	A	3m	4.9400
2011-01	M	A	3m	4.9800
2011-02	M	A	3m	4.8400
2011-03	M	A	3m	4.0200
2011-04	M	A	3m	3.9400
2011-05	M	A	3m	4.2400
2011-06	M	A	3m	5.9100
2011-07	M	A	3m	5.8900
2011-08	M	A	3m	5.1900
2011-09	M	A	3m	5.6900
2011-10	M	A	3m	5.6700
2011-11	M	A	3m	5.7300
2011-12	M	A	3m	5.5700
2012-01	M	A	3m	6.7986
2012-02	M	A	3m	5.3608
2012-03	M	A	3m	4.7224
2012-04	M	A	3m	4.3701
2012-05	M	A	3m	4.0372
2012-06	M	A	3m	3.7012
2012-07	M	A	3m	3.4558
2012-08	M	A	3m	3.5944
2012-09	M	A	3m	4.1237
2012-10	M	A	3m	3.7763
2012-11	M	A	3m	3.8238
2012-12	M	A	3m	3.9705
2013-01	M	A	3m	3.7711
2013-02	M	A	3m	3.7143
2013-03	M	A	3m	3.5211
2013-04	M	A	3m	3.6280
2013-05	M	A	3m	3.8375
2013-06	M	A	3m	6.6454
2013-07	M	A	3m	5.0860
